epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4417,3.54278,5.45461,4.53995,0,0,0,0,3.43656,5.52083,4.16117,0.0002875,0.0002875,0.0002875
2,197.628,3.43398,4.52635,4.01892,0,0,0,0,3.43418,5.43324,4.19112,0.000575868,0.000575868,0.000575868
3,306.487,2.99517,3.67011,3.53904,0,0,0,0,3.43346,5.3223,4.2404,0.000852355,0.000852355,0.000852355
4,408.531,2.65459,3.33601,3.13235,0,0,0,0,3.43952,5.26866,4.24073,0.00111696,0.00111696,0.00111696
5,510.897,2.42172,3.15225,2.93067,0,0,0,0,3.43623,5.16795,4.25347,0.001151,0.001151,0.001151
6,615.307,2.34601,2.88405,2.7125,0.00064,0.11343,0.00223,0.00045,2.95603,4.87414,3.76274,0.00112625,0.00112625,0.00112625
7,716.997,2.21802,2.76376,2.56563,0.2128,0.20718,0.17145,0.05854,2.30568,3.53714,2.74159,0.0011015,0.0011015,0.0011015
8,821.625,2.08576,2.67135,2.3871,0.42845,0.56407,0.4505,0.20936,1.87951,2.56732,2.47264,0.00107675,0.00107675,0.00107675
9,926.993,2.00765,2.46596,2.3183,0.18273,0.36966,0.219,0.08184,2.01582,4.59044,2.49403,0.001052,0.001052,0.001052
10,1026.41,1.95027,2.22183,2.21317,0.40434,0.55276,0.40979,0.21838,1.71589,2.4415,2.15644,0.00102725,0.00102725,0.00102725
11,1124.52,1.94423,2.19892,2.13033,0.5017,0.60029,0.51642,0.26808,1.67286,2.21992,2.15236,0.0010025,0.0010025,0.0010025
12,1227.96,1.81935,2.13014,2.09152,0.36288,0.71899,0.5299,0.31037,1.60206,2.21768,2.00753,0.00097775,0.00097775,0.00097775
13,1330.71,1.77345,2.07002,2.05405,0.44427,0.73704,0.57955,0.29902,1.71947,2.21489,2.01741,0.000953,0.000953,0.000953
14,1429.85,1.77916,1.97245,2.0096,0.52188,0.6332,0.64914,0.35989,1.48671,1.92012,1.88467,0.00092825,0.00092825,0.00092825
15,1527.5,1.693,1.91569,1.94895,0.46356,0.62617,0.60089,0.32387,1.59777,2.09948,2.01448,0.0009035,0.0009035,0.0009035
16,1620.42,1.69017,1.91755,1.94268,0.41782,0.66916,0.54655,0.31883,1.59667,1.86908,1.94269,0.00087875,0.00087875,0.00087875
17,1705.53,1.63176,1.81841,1.9151,0.50763,0.60425,0.57786,0.31866,1.60871,2.0603,1.95434,0.000854,0.000854,0.000854
18,1791.37,1.66841,1.84975,1.96841,0.56446,0.76296,0.7089,0.41013,1.54792,1.90284,1.91714,0.00082925,0.00082925,0.00082925
19,1879.8,1.66254,1.77013,1.89444,0.77185,0.51091,0.68766,0.40964,1.61553,1.79199,1.97565,0.0008045,0.0008045,0.0008045
20,1967.17,1.58979,1.6994,1.82314,0.62035,0.78512,0.75593,0.43156,1.52844,1.65252,1.86013,0.00077975,0.00077975,0.00077975
21,2051.85,1.63383,1.75348,1.91923,0.69616,0.70254,0.73942,0.44982,1.44351,1.5912,1.81784,0.000755,0.000755,0.000755
22,2137.11,1.61673,1.64677,1.89779,0.65034,0.72495,0.72874,0.43844,1.39723,1.62895,1.80663,0.00073025,0.00073025,0.00073025
23,2224.78,1.55524,1.60716,1.80796,0.63607,0.75464,0.78223,0.49136,1.38285,1.56956,1.85476,0.0007055,0.0007055,0.0007055
24,2310.76,1.50962,1.55632,1.76625,0.59021,0.60646,0.64144,0.41335,1.34973,1.62329,1.72484,0.00068075,0.00068075,0.00068075
25,2397.84,1.50736,1.52354,1.72967,0.7329,0.72098,0.80151,0.49162,1.36653,1.56112,1.74771,0.000656,0.000656,0.000656
26,2484.86,1.50579,1.5218,1.77146,0.59916,0.72666,0.73287,0.45509,1.43514,1.56108,1.91957,0.00063125,0.00063125,0.00063125
27,2571.92,1.47203,1.45424,1.70487,0.66776,0.68846,0.75105,0.47324,1.35574,1.4732,1.78454,0.0006065,0.0006065,0.0006065
28,2658.8,1.4759,1.43687,1.71595,0.66324,0.7938,0.80163,0.50641,1.37663,1.38668,1.78607,0.00058175,0.00058175,0.00058175
29,2745.19,1.42407,1.4179,1.71108,0.73491,0.74591,0.81371,0.51311,1.3308,1.32837,1.80577,0.000557,0.000557,0.000557
30,2831.59,1.41392,1.42458,1.71856,0.76521,0.83859,0.86921,0.54335,1.37982,1.3592,1.71537,0.00053225,0.00053225,0.00053225
31,2918.21,1.44153,1.3929,1.71427,0.73919,0.81503,0.84053,0.54197,1.34123,1.30812,1.69616,0.0005075,0.0005075,0.0005075
32,3004.34,1.48438,1.41189,1.68928,0.69668,0.86893,0.8583,0.54473,1.40611,1.33741,1.8274,0.00048275,0.00048275,0.00048275
33,3091.21,1.45128,1.38662,1.71979,0.60848,0.68922,0.74094,0.50728,1.23381,1.3711,1.64217,0.000458,0.000458,0.000458
34,3177.93,1.36057,1.33012,1.64575,0.78131,0.8301,0.8602,0.53231,1.34479,1.1952,1.70511,0.00043325,0.00043325,0.00043325
35,3262.88,1.38373,1.32393,1.62443,0.77333,0.88312,0.88931,0.57088,1.26454,1.21663,1.75372,0.0004085,0.0004085,0.0004085
36,3345.81,1.40439,1.29411,1.68528,0.84701,0.82902,0.9138,0.61103,1.25959,1.19073,1.6616,0.00038375,0.00038375,0.00038375
37,3429.16,1.36444,1.2568,1.61277,0.89002,0.82037,0.90922,0.61489,1.22276,1.08149,1.65925,0.000359,0.000359,0.000359
38,3512.25,1.28636,1.19443,1.55599,0.85733,0.78553,0.89814,0.60029,1.25435,1.28484,1.65642,0.00033425,0.00033425,0.00033425
39,3594.38,1.36281,1.24664,1.65526,0.88417,0.8565,0.92514,0.63377,1.19689,1.04554,1.63024,0.0003095,0.0003095,0.0003095
40,3676.41,1.30796,1.22971,1.6072,0.9077,0.80446,0.90879,0.60797,1.20045,1.03588,1.64429,0.00028475,0.00028475,0.00028475
41,3758.79,1.20251,1.17698,1.57114,0.91984,0.83677,0.93413,0.60823,1.27692,1.09022,1.66622,0.00026,0.00026,0.00026
42,3841.02,1.24144,1.11522,1.63378,0.79885,0.82435,0.84923,0.53771,1.31818,1.17416,1.72233,0.00023525,0.00023525,0.00023525
43,3926.6,1.19803,1.05023,1.58305,0.85116,0.87938,0.92655,0.65525,1.16806,1.03827,1.61905,0.0002105,0.0002105,0.0002105
44,4009.2,1.16359,1.02293,1.58313,0.88872,0.91346,0.94097,0.65993,1.1565,0.95101,1.58557,0.00018575,0.00018575,0.00018575
45,4091.71,1.14077,1.05392,1.55837,0.89858,0.88207,0.94327,0.65853,1.17236,1.02453,1.57869,0.000161,0.000161,0.000161
46,4174.46,1.10652,0.94844,1.49094,0.91811,0.87418,0.944,0.64314,1.19067,0.99518,1.57769,0.00013625,0.00013625,0.00013625
47,4257.47,1.12795,0.94446,1.52935,0.90465,0.93204,0.95613,0.67413,1.14579,0.9488,1.58897,0.0001115,0.0001115,0.0001115
48,4340.44,1.11682,0.94809,1.54234,0.93409,0.93867,0.96296,0.65901,1.19079,0.95871,1.57079,8.675e-05,8.675e-05,8.675e-05
49,4424.38,1.10559,0.96568,1.5369,0.94003,0.92947,0.9625,0.68319,1.14631,0.91646,1.5785,6.2e-05,6.2e-05,6.2e-05
50,4507.66,1.08531,0.90723,1.48365,0.93683,0.92663,0.97049,0.6903,1.12625,0.8974,1.56455,3.725e-05,3.725e-05,3.725e-05
