epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.154,3.8011,5.41496,4.49535,0,0,0,0,3.47442,5.52843,4.16433,0.00035,0.00035,0.00035
2,226.524,3.35616,4.11716,3.88586,0,0,0,0,3.47064,5.3729,4.20403,0.000698392,0.000698392,0.000698392
3,336.929,2.8339,3.43235,3.30351,0,0,0,0,3.46979,5.18757,4.25914,0.00103243,0.00103243,0.00103243
4,455.725,2.65155,3.0802,2.83398,0,0,0,0,3.46163,5.2706,4.25104,0.00117575,0.00117575,0.00117575
5,571.793,2.32001,2.80291,2.56612,0,0,0,0,3.28141,5.19672,4.16772,0.001151,0.001151,0.001151
6,689.596,2.12255,2.6024,2.32233,0.17928,0.02317,0.07527,0.02792,2.48482,4.36969,3.38162,0.00112625,0.00112625,0.00112625
7,806.574,2.06183,2.45172,2.24682,0.39509,0.46726,0.38123,0.16125,1.85684,2.74099,2.33638,0.0011015,0.0011015,0.0011015
8,923.841,2.06406,2.3366,2.19142,0.30646,0.57729,0.38536,0.13768,1.93089,2.79269,2.39555,0.00107675,0.00107675,0.00107675
9,1036.73,1.87466,2.16817,2.03817,0.49835,0.53848,0.54031,0.2771,1.60645,2.2671,2.03533,0.001052,0.001052,0.001052
10,1147.9,1.78285,2.07526,1.96027,0.48405,0.60262,0.53423,0.29726,1.45927,2.06508,1.91293,0.00102725,0.00102725,0.00102725
11,1261,1.73132,1.92899,1.86669,0.47186,0.58118,0.54152,0.28672,1.67144,2.39133,2.14573,0.0010025,0.0010025,0.0010025
12,1370.63,1.76263,1.91989,1.87694,0.3712,0.537,0.43297,0.24181,1.70809,2.21557,2.11879,0.00097775,0.00097775,0.00097775
13,1480.37,1.703,1.87874,1.83235,0.40215,0.75068,0.46668,0.28681,1.46763,3.55263,1.92551,0.000953,0.000953,0.000953
14,1600.41,1.63354,1.78836,1.78792,0.44474,0.72852,0.54153,0.31389,1.42805,1.88228,1.80607,0.00092825,0.00092825,0.00092825
15,1717.06,1.61155,1.77109,1.7362,0.4677,0.65956,0.53987,0.3004,1.53749,1.85011,1.8676,0.0009035,0.0009035,0.0009035
16,1828.85,1.60603,1.6919,1.72171,0.52719,0.59205,0.61903,0.3955,1.33311,1.73771,1.77658,0.00087875,0.00087875,0.00087875
17,1941.35,1.6192,1.67445,1.76121,0.55852,0.71564,0.70678,0.43833,1.3838,1.64901,1.76163,0.000854,0.000854,0.000854
18,2053.96,1.56949,1.61232,1.67912,0.60402,0.6414,0.66065,0.36186,1.6319,1.84868,1.94888,0.00082925,0.00082925,0.00082925
19,2165.55,1.49179,1.50728,1.61657,0.60914,0.72393,0.70849,0.44031,1.33144,1.99232,1.6883,0.0008045,0.0008045,0.0008045
20,2277.54,1.47153,1.52899,1.61714,0.61998,0.78789,0.72198,0.47185,1.25558,1.59739,1.64051,0.00077975,0.00077975,0.00077975
21,2391.28,1.43249,1.45774,1.55906,0.53702,0.73793,0.69431,0.44117,1.33949,1.631,1.73373,0.000755,0.000755,0.000755
22,2509.21,1.42604,1.54259,1.54274,0.59029,0.73483,0.7738,0.49845,1.32157,1.56709,1.68278,0.00073025,0.00073025,0.00073025
23,2620.42,1.40442,1.36807,1.5166,0.63166,0.78114,0.79404,0.53085,1.27003,1.4341,1.65094,0.0007055,0.0007055,0.0007055
24,2732.5,1.45865,1.4672,1.62716,0.71338,0.69694,0.74875,0.51482,1.22177,1.44328,1.60359,0.00068075,0.00068075,0.00068075
