epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0873,3.40417,5.31569,4.58983,0.00026,0.06932,0.00016,4e-05,3.25745,5.3727,4.16072,0.000225,0.000225,0.000225
2,153.749,2.9658,4.31322,4.14661,0.00021,0.05795,0.00014,3e-05,3.28269,5.32204,4.18039,0.000453342,0.000453342,0.000453342
3,228.226,2.99803,4.01613,3.80477,0.00038,0.08068,0.00031,5e-05,3.34634,5.22752,4.23731,0.00067228,0.00067228,0.00067228
4,300.428,2.66912,3.60774,3.55345,0.00027,0.05682,0.00018,3e-05,3.37379,5.1787,4.28297,0.000881812,0.000881812,0.000881812
5,372.579,2.56504,3.38404,3.32698,0.00032,0.04659,0.00019,3e-05,3.37896,4.95907,4.28279,0.00108194,0.00108194,0.00108194
6,444.179,2.46322,3.25077,3.16897,0.00028,0.05795,0.00017,3e-05,3.37596,5.23613,4.27033,0.00112625,0.00112625,0.00112625
7,516.152,2.37231,3.05699,3.09372,0.00037,0.08547,0.00023,6e-05,3.21935,5.06101,4.01997,0.0011015,0.0011015,0.0011015
8,588.459,2.37364,3.04611,3.04228,0.12637,0.06926,0.06037,0.02797,2.24115,4.33413,3.40564,0.00107675,0.00107675,0.00107675
9,660.327,2.2235,2.83022,2.91799,0.00301,0.78079,0.02152,0.00454,2.14476,4.41116,3.42446,0.001052,0.001052,0.001052
10,732.673,2.09837,2.68279,2.83434,0.37357,0.05084,0.17898,0.08626,1.98018,3.91312,3.10832,0.00102725,0.00102725,0.00102725
11,804.698,2.03156,2.67801,2.74561,0.35057,0.77601,0.48596,0.22632,1.96242,5.42779,2.84313,0.0010025,0.0010025,0.0010025
12,877.139,1.92749,2.63901,2.72302,0.34238,0.46159,0.38537,0.21223,2.0122,3.33139,2.90204,0.00097775,0.00097775,0.00097775
13,949.771,2.18751,2.68439,2.96947,0.30268,0.45468,0.33874,0.19951,1.95635,3.12105,2.83544,0.000953,0.000953,0.000953
14,1022.63,1.92967,2.45507,2.5963,0.16576,0.09602,0.17732,0.08508,2.26945,3.54513,3.01527,0.00092825,0.00092825,0.00092825
15,1094.96,1.88774,2.32528,2.61336,0.25898,0.55615,0.31443,0.1823,1.75489,2.92563,2.73114,0.0009035,0.0009035,0.0009035
16,1167.12,1.83529,2.29654,2.53434,0.37294,0.73885,0.47037,0.27116,1.65349,2.60014,2.40699,0.00087875,0.00087875,0.00087875
17,1240.52,1.78314,2.19851,2.49303,0.32222,0.47438,0.37219,0.20911,1.92126,2.83681,2.69504,0.000854,0.000854,0.000854
18,1313.34,1.75516,2.19103,2.4551,0.40402,0.66063,0.51861,0.271,1.69898,4.3986,2.47877,0.00082925,0.00082925,0.00082925
19,1385.57,1.8636,2.20138,2.57278,0.33497,0.58013,0.4399,0.26622,1.77553,2.68206,2.62907,0.0008045,0.0008045,0.0008045
