epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3408,3.0134,5.64205,4.46571,0,0,0,0,2.64552,5.48293,4.15951,0.000225,0.000225,0.000225
2,154.986,3.13756,4.50489,4.15008,0,0,0,0,2.64431,5.42442,4.17623,0.000453342,0.000453342,0.000453342
3,230.307,3.0783,4.02789,3.76579,0,0,0,0,2.65187,5.29777,4.22022,0.00067228,0.00067228,0.00067228
4,305.275,2.62237,3.54183,3.44179,0,0,0,0,2.65224,5.31005,4.26034,0.000881812,0.000881812,0.000881812
5,380.391,2.44987,3.39792,3.1179,0,0,0,0,2.64196,5.26052,4.27925,0.00108194,0.00108194,0.00108194
6,455.349,2.29768,3.11088,3.00744,0,0,0,0,2.64157,5.31235,4.29576,0.00112625,0.00112625,0.00112625
7,529.864,2.21721,2.96383,2.84643,0,0,0,0,2.61344,5.30975,4.22362,0.0011015,0.0011015,0.0011015
8,604.86,2.25181,3.04703,2.82231,0.12995,0.02617,0.05237,0.03127,2.29027,4.61999,3.78178,0.00107675,0.00107675,0.00107675
9,680.388,2.12857,2.78237,2.72027,0.46209,0.33368,0.43761,0.22744,1.74004,3.14539,2.76745,0.001052,0.001052,0.001052
10,757.37,1.89609,2.58097,2.47323,0.27059,0.61905,0.39299,0.16517,2.06691,4.33775,2.91607,0.00102725,0.00102725,0.00102725
11,832.309,1.90284,2.62156,2.45728,0.31109,0.7019,0.36591,0.21147,1.69914,2.74918,2.51703,0.0010025,0.0010025,0.0010025
12,907.209,1.8914,2.60023,2.44798,0.33201,0.779,0.53004,0.26896,1.75904,3.25867,2.56968,0.00097775,0.00097775,0.00097775
13,983.144,1.95471,2.53474,2.48904,0.31368,0.66056,0.38149,0.1866,1.89278,3.64491,2.54446,0.000953,0.000953,0.000953
14,1058.17,1.7832,2.35487,2.30859,0.36059,0.77109,0.4823,0.26323,1.61759,2.31547,2.42012,0.00092825,0.00092825,0.00092825
15,1133.25,1.72365,2.18229,2.2815,0.43515,0.66853,0.40091,0.19291,1.87482,2.64227,2.57978,0.0009035,0.0009035,0.0009035
16,1208.01,1.71025,2.17925,2.24467,0.40347,0.73043,0.48021,0.24455,1.7764,2.24985,2.42154,0.00087875,0.00087875,0.00087875
17,1282.94,1.6932,2.16282,2.19524,0.27032,0.74468,0.43651,0.26274,1.59806,2.4073,2.35494,0.000854,0.000854,0.000854
18,1358.66,1.61916,2.14327,2.19312,0.37075,0.79132,0.45698,0.27793,1.42177,2.42474,2.22767,0.00082925,0.00082925,0.00082925
19,1435.15,1.71036,2.05177,2.27836,0.36763,0.58468,0.44247,0.27578,1.59579,2.3155,2.31285,0.0008045,0.0008045,0.0008045
20,1510.73,1.63709,2.08829,2.17619,0.34125,0.72601,0.53196,0.29994,1.42263,2.25586,2.17433,0.00077975,0.00077975,0.00077975
21,1586.35,1.74215,2.08456,2.22789,0.38628,0.70541,0.50428,0.30381,1.4981,2.10872,2.19596,0.000755,0.000755,0.000755
22,1662.41,1.56361,1.96308,2.1615,0.35067,0.65639,0.54538,0.30945,1.56786,2.57242,2.21164,0.00073025,0.00073025,0.00073025
23,1738.05,1.56658,1.93579,2.11929,0.47777,0.66337,0.58771,0.36102,1.37966,2.22442,2.20531,0.0007055,0.0007055,0.0007055
24,1814.21,1.51551,1.90951,2.04038,0.58885,0.65172,0.62078,0.38241,1.44299,1.83229,2.17818,0.00068075,0.00068075,0.00068075
25,1889.67,1.5088,1.81739,2.0252,0.51687,0.66147,0.61343,0.37694,1.41295,1.84852,2.15186,0.000656,0.000656,0.000656
26,1964.97,1.57458,1.80521,2.11522,0.55498,0.79044,0.64444,0.42272,1.34969,1.79998,2.07276,0.00063125,0.00063125,0.00063125
27,2040.6,1.54788,1.79127,2.06173,0.45074,0.68628,0.60928,0.37039,1.49006,2.24791,2.17039,0.0006065,0.0006065,0.0006065
28,2115.9,1.38945,1.78548,1.85893,0.50407,0.62818,0.63342,0.39741,1.44921,1.93486,2.12226,0.00058175,0.00058175,0.00058175
